lemma	rel	p-value
דרג	attr	0.0514
מוזיאון	attr	0.0514
השקעה	attr	0.0524
בקשה	attr	0.0548
חוב	attr	0.0548
מנייה	attr	0.0548
תמיכה	attr	0.0548
הקמה	attr	0.0564
ישיבה	attr	0.0564
מוצר	attr	0.0616
מחצית	attr	0.0616
נתון	attr	0.0616
אמירה	attr	0.0625
בעלות	attr	0.0625
התפתחות	attr	0.0625
יהדות	attr	0.0625
לקח	attr	0.0625
מגורים	attr	0.0625
תוצאה	attr	0.0636
צעד	attr	0.0667
דמות	attr	0.0722
הופעה	attr	0.0743
יועץ	attr	0.0743
נאמנות	attr	0.0743
שפה	attr	0.0762
יצירה	attr	0.0839
תקן	attr	0.0839
אחוז	attr	0.084
התנהגות	attr	0.084
דור	attr	0.0868
חשיבות	attr	0.0868
כדורסל	attr	0.0868
לשון	attr	0.0868
מגמה	attr	0.0868
מוצא	attr	0.0868
נוסחה	attr	0.0868
רכב	attr	0.0868
חשש	attr	0.0921
טעם	attr	0.0921
מכירה	attr	0.0964
מסע	attr	0.0964
מערכת	attr	0.0987
ניסיון	attr	0.0987
ברירה	attr	0.0998
העברה	attr	0.0998
זרוע	attr	0.0998
טיב	attr	0.0998
עונה	attr	0.0998
סדרה	attr	0.101
אופי	attr	0.109
הכנסה	attr	0.109
סניף	attr	0.109
רוטב	attr	0.109
סוג	attr	0.11
רפואה	attr	0.113
ביקור	attr	0.118
גודל	attr	0.127
חוברת	attr	0.127
עצמאות	attr	0.127
קומה	attr	0.127
רוב	attr	0.127
הסדר	attr	0.128
יחידה	attr	0.137
מדיניות	attr	0.137
סופר	attr	0.137
ביקורת	attr	0.142
יחס	attr	0.142
לימוד	attr	0.142
עמוד	attr	0.142
קואליציה	attr	0.142
נציג	attr	0.146
אישום	attr	0.156
מצוקה	attr	0.156
סיכום	attr	0.156
מנהל	attr	0.157
שכר	attr	0.161
רצון	attr	0.167
מושב	attr	0.171
ציפוי	attr	0.171
קביעה	attr	0.171
תכנון	attr	0.171
אפשרות	attr	0.178
כוונה	attr	0.178
אחריות	attr	0.186
קריאה	attr	0.186
תרבות	attr	0.186
סיפור	attr	0.188
דגם	attr	0.202
חינוך	attr	0.202
צד	attr	0.217
איום	attr	0.217
פתח	attr	0.217
ריבית	attr	0.217
גל	attr	0.233
דין	attr	0.238
אימון	attr	0.248
איכות	attr	0.264
עונש	attr	0.264
פרסום	attr	0.264
שיא	attr	0.264
מינוי	attr	0.28
תוספת	attr	0.28
ליגה	attr	0.292
עסק	attr	0.295
קליטה	attr	0.296
כתב	attr	0.301
ביטוי	attr	0.311
בסיס	attr	0.342
דוגמה	attr	0.342
לחץ	attr	0.342
רוח	attr	0.342
חלק	attr	0.348
פרויקט	attr	0.357
מועמד	attr	0.372
מחקר	attr	0.372
אב	attr	0.387
מעמד	attr	0.387
נבחרת	attr	0.402
שיטה	attr	0.402
שם	attr	0.414
רעיון	attr	0.436
עבר	attr	0.441
תביעה	attr	0.453
הנהלה	attr	0.478
זכות	attr	0.507
רמה	attr	0.545
הצעה	attr	0.56
עלייה	attr	0.56
מסגרת	attr	0.568
חיים	attr	0.6
קבוצה	attr	0.644
הגנה	attr	0.652
מס	attr	0.652
דם	attr	0.657
הצלחה	attr	0.657
סמכות	attr	0.657
מאבק	attr	0.662
סיוע	attr	0.662
סמל	attr	0.662
טלוויזיה	attr	0.667
אור	attr	0.672
דרך	attr	0.674
חייל	attr	0.689
תשלום	attr	0.689
מטרה	attr	0.694
הוצאה	attr	0.7
מהלך	attr	0.7
כדור	attr	0.712
רצח	attr	0.712
קשר	attr	0.718
שירות	attr	0.718
ילד	attr	0.758
תחום	attr	0.761
יום	attr	0.78
חוץ	attr	0.794
החלטה	attr	1
מנה	attr	1
סיום	attr	1
בית	rep	0.000185
שנה	rep	0.00182
ראש	rep	0.0521
חברה	rep	0.0644
שר	rep	0.0705
שבוע	rep	0.0973
משפט	rep	0.126
עבודה	rep	0.292
אביב	rep	0.331
בן	rep	0.334
דולר	rep	0.442
ספר	rep	0.443
קרן	rep	0.445
כוח	rep	0.498
מקום	rep	0.532
ביטחון	rep	0.587
נושא	rep	0.587
עולם	rep	0.593
ועדה	rep	0.632
חודש	rep	0.669
משחק	rep	0.69
בת	rep	0.771
תנועה	rep	0.772
מקור	rep	0.775
ניצחון	rep	0.775
מחיר	rep	0.821
יד	rep	1
נקודה	rep	1
עניין	rep	1
פעולה	rep	1
אזור	rep	1
ארגון	rep	1
כלל	rep	1
מעשה	rep	1
משפחה	rep	1
עם	rep	1
ציבור	rep	1
שלום	rep	1
תנאי	rep	1
תפקיד	rep	1
