expression	rel	p-value (log[10])
مُذَكِّرَة تَفَاهُم	attr	19.6652410590908
دِرَاسَة جَدوَى	attr	19.647687609968
عَمَل عُنف	attr	19.5918112172583
مُستَلزَم إِنتَاج	attr	19.3416710215613
تَشكِيل حُكُومَة	attr	19.2378253488072
بَنك مِصر	attr	19.0620984092953
مَعرِض قَاهِرَة	attr	18.8013701447684
مَجلِس شُورَى	attr	18.7592995989106
وَقف إِطلَاق	attr	18.6845814270196
عَمَلِيَّة إِجلَاء	attr	18.6013028480132
إِجرَاء مُحَادَثَة	attr	18.4274495403333
مُكَافَحَة غُسل	attr	18.4018891802377
قِطَاع عَمَل	attr	18.3780361597853
وَكَالَة نَبَأ	attr	18.1821500755632
إِعَادَة هَيكَلَة	attr	18.1008075502644
تِكنُولُوجِيَا مَعلُومَة	attr	18.0959759733007
جَنُوب سُودَان	attr	17.9778676328283
عَدَد سَاكِن	attr	17.6045983425092
عَجز مُوَازَنَة	attr	17.4311131945441
نِهَايَة سَنَة	attr	17.4238253868975
أَمِير قَطَر	attr	17.280122236928
دَورَة لَعب	attr	17.2762891153508
اِتِّفَاق تِجَارَة	attr	17.2753829413516
عَدَم اِستِقرَار	attr	17.2663146240046
عَدَم وُجُود	attr	17.2663146240046
مُعَادَاة سَامِيَّة	attr	17.2286824922389
إِقَامَة مَشرُوع	attr	17.1459553303336
شَرِكَة صَرَّافَة	attr	17.0626600598732
قَانُون تَموِيل	attr	17.0566225678246
مُنَظَّمَة صِحَّة	attr	16.9132522591165
نَفس وَقت	attr	16.7960761032843
قَيد حَيَاة	attr	16.7395339364473
خَفض سِعر	attr	16.6963146033933
رَئِيس حُكُومَة	attr	16.6637396074742
اِتِّحَاد غُرفَة	attr	16.6447481180114
غُسل مَال	attr	16.5755767897723
عَبد اَللّٰه	attr	16.5431117692515
تَحقِيق هَدَف	attr	16.4517423982535
جَذب اِستِثمَار	attr	16.4503499872709
مُعَدَّل تَضَخُّم	attr	16.2923873882005
سَيَّارَة أُجرَة	attr	16.2194744904525
مُحَادَثَة سَلَام	attr	16.0248207770755
بَنك قَاهِرَة	attr	15.9219941461609
رَصد هِلَال	attr	15.8328473219408
مِيزَان مَدفُوع	attr	15.8328473219408
تَولِيد كَهرَبَاء	attr	15.7775860376993
اِتِّفَاقِيَّة مُشَارَكَة	attr	15.7751970542581
شَرق صِين	attr	15.7254714902836
اِستِئنَاف عَلَاقَة	attr	15.6723023667205
بَيت لَحم	attr	15.1083735492019
طَائِرَة تَجَسُّس	attr	15.0735357409927
فُرصَة عَمَل	attr	15.0483288620038
مَرَض قَلب	attr	15.0205099655799
تَطبِيق اِتِّفَاق	attr	14.9542356461969
اِتِّفَاق سَلَام	attr	14.8656374581891
حَدَث أَيلُول	attr	14.8276605045559
إِنقَاذ بَحَّارَة	attr	14.8076242328314
تَعوِيم جُنَيه	attr	14.8020808752168
شَمَال قُبرُص	attr	14.7918116253231
خَارِجِيَّة اِتِّحَاد	attr	14.7663950631392
حَلّ مُشكِلَة	attr	14.6931528666695
تَرجَمَة مَعنَى	attr	14.5703303388152
مَعنَى قُرآن	attr	14.526725156279
سَبِيل مِثَال	attr	14.5109591682176
قَانُون مُحَاسَبَة	attr	14.4768955157658
إِجلَاء طَاقِم	attr	14.4679945167486
حَيِّز تَنفِيذ	attr	14.4220180848763
تَلبِيَة اِحتِيَاج	attr	14.3534804641047
ثَورَة يُولِيُو	attr	14.3484997561349
شَمَال غَرب	attr	14.3014539367273
دَولَة إِمَارَة	attr	14.2888553263311
شَرِكَة طَيَرَان	attr	14.2238353361886
نِهَايَة يُونِيُو	attr	14.2084465071462
سَحب قُوَّة	attr	14.1335224888486
حَجب ثِقَة	attr	14.1307067914258
نِقَابَة مُحَامِي	attr	14.1038775551619
نِهَايَة أُسبُوع	attr	14.0826033696084
مَركَز بَحث	attr	14.054023068681
تَلَقِّي عِلَاج	attr	14.000450520833
اِستِقبَال رَهِينَة	attr	13.967157275008
تَحقِيق سَلَام	attr	13.8810668285955
إِنقَاذ طَاقِم	attr	13.8300339585746
شَمَال عِرَاق	attr	13.7814392962356
زِيَارَة وَزِير	attr	13.7576144321652
اِصطِحَاب رَهِينَة	attr	13.7527209030497
حَدّ ذَات	attr	13.7527209030457
تَهرِيب مُخَدِّر	attr	13.7518843416361
مُسَاعِد وَزِير	attr	13.6992634210023
إِلغَاء رَسم	attr	13.6789187464799
رَفع اِسم	attr	13.655839779104
عَاصِمَة مُقَاطَعَة	attr	13.6270402500642
إِدَارَة شَرِكَة	attr	13.5786445785354
ضَرِيبَة مَبِيعَات	attr	13.5034380523057
زِيَارَة رَئِيس	attr	13.5000203673566
أُسطُول شَمَال	attr	13.4805431373037
رَسم مَلَامِح	attr	13.476704308578
قَاع بَحر	attr	13.4767043085724
شَمَال شَرق	attr	13.4500480823656
حَجم اِستِثمَار	attr	13.2262012946138
دَولَة عَالَم	attr	13.2219060510424
بُحَيرَة سُدّ	attr	13.2024262258623
عُضو لَجنَة	attr	13.0966678812843
مُرَاسِل وِكَالَة	attr	13.0518163989373
شَرِكَة تَسوِيق	attr	13.0501179421679
مَجلِس شَيخ	attr	13.0106862359532
خِتَام زِيَارَة	attr	13.001059354145
وِزَارَة تِجَارَة	attr	12.9973138442646
بَرنَامَج نَفط	attr	12.9337621565581
تَصرِيح مَسؤُول	attr	12.9330099430908
نَحو عَالَم	attr	12.9071242090842
رَفع كَفَاءَة	attr	12.8769787849437
بَحَّارَة غَوَّاصَة	attr	12.8712188097093
جِهَاز أَمن	attr	12.6417277399403
وَزِير ثَقَافَة	attr	12.6386416614544
سَبَب عَدَم	attr	12.6348714557563
بِدَايَة شَهر	attr	12.6275974614025
مَجمَع بَحث	attr	12.6218424623953
مَرَض اِلتِهَاب	attr	12.6206239879001
لَجنَة مُقَاوَمَة	attr	12.5518009957402
جَمَاعَة أَخ	attr	12.5075764033949
شَرِكَة قِطَاع	attr	12.5063697796547
إِطَار جَولَة	attr	12.4416029777276
عَقد قِمَّة	attr	12.4401634639466
اِتِّخَاذ قَرَار	attr	12.4058331903909
غُرفَة صِنَاعَة	attr	12.3397552083022
أَزمَة سُيُولَة	attr	12.3010213415347
نِسبَة وَفَاة	attr	12.2954916774713
وُقُوع حَادِث	attr	12.2380832836518
غُرفَة تِجَارَة	attr	12.2274628815865
نِظَام حُكم	attr	12.2271261056989
مُعَدَّل نُمُوّ	attr	12.1827337305604
إِنتَاج قِطعَة	attr	12.1380679592266
وَزِير مَالِيَّة	attr	12.101906110278
إِنزَال كَبسُولَة	attr	12.0668574377635
اِلتِهَاب سِحَايَة	attr	12.0668574377635
تَنظِيف زِنزَانَة	attr	12.0668574377635
حَامِض كِبرِيتِيك	attr	12.0668574377635
سَلطَنَة عُمَان	attr	12.0668574377635
اِستِقرَار سِعر	attr	12.0484542846693
مَحَطَّة مَاء	attr	12.0348013039045
ذَات صِلَة	attr	12.0248282395842
حِزب مُعَارَضَة	attr	12.0228896918805
كَأس عَالَم	attr	11.9978664487075
عَدَم ذِكر	attr	11.9801205390862
كُرَة مِضرَب	attr	11.9693574431242
رَئِيس هَيئَة	attr	11.9672963097113
مُنَاسَبَة ذِكرَى	attr	11.8822072674078
لَاعِب وَسط	attr	11.8804613088492
اِسم وِزَارَة	attr	11.8728553985135
بِطَاقَة اِئتِمَان	attr	11.8013164010617
سُوء نِيَّة	attr	11.7886432465577
إِحدَى شَرِكَة	attr	11.7852368721544
جَامِعَة دَولَة	attr	11.7784347970702
سُوق نَقد	attr	11.7715481513184
تَعزِيز تَعَاوُن	attr	11.7247860080541
مُوجِب اِتِّفَاق	attr	11.6824568443965
هَيئَة رُكن	attr	11.6638203129215
جَيش تَحرِير	attr	11.5924858128087
كَارِثَة غَوَّاصَة	attr	11.5508181555359
بَذل جَهد	attr	11.5262088256996
رَئِيس شُعبَة	attr	11.5237651686663
تَحرِير سِعر	attr	11.5051593200016
حُلُول عَام	attr	11.4940452095589
بَرَاءَة اِختِرَاع	attr	11.4647974464369
حِسّ زَعَامَة	attr	11.4647974464369
مَأدُبَة عَشَاء	attr	11.4647974464369
خَزَّان مَضِيق	attr	11.4647974464355
جَمعِيَّة رَجُل	attr	11.4364683761585
حُرِّيَّة صَحَافَة	attr	11.4355974487588
أَتعَاب خِدمَة	attr	11.4351976874384
مَدِينَة سَامَرَّاء	attr	11.370739698208
نِهَايَة شَهر	attr	11.3673729232665
مُكَافَحَة تَبيِيض	attr	11.3497276675644
إِحلَال سَلَام	attr	11.3368134524666
إِيجَاد حَلّ	attr	11.3341144317312
إِعَادَة نَظَر	attr	11.3250190403507
جِهَاز تَمثِيل	attr	11.3017254763005
مَجلِس نَائِب	attr	11.2458316486434
فَرد شُرطَة	attr	11.2035043005064
حُلُول نِهَايَة	attr	11.1942258459143
بَذل مَزِيد	attr	11.1298991008785
حَائِط بُرَاق	attr	11.0668574377676
مُخَيَّم نَصِيرَة	attr	11.0668574377676
ضَرِيح حَاخَام	attr	11.0668574377634
وُصلَة رَقص	attr	11.0668574377634
مُبَادَرَة سَلَام	attr	10.9963023077183
مُستَشفَى حُسَين	attr	10.9824917432481
جَامِعَة قَاهِرَة	attr	10.9584023615502
حَالَة عَدَم	attr	10.938366373723
مِنطَقَة خَلِيج	attr	10.9362852420217
شَرِكَة حَدِيد	attr	10.9203064048652
تَوطِين لَاجِئ	attr	10.9016163235487
رِحلَة طَيَرَان	attr	10.8750505060259
شَبَاب مِصر	attr	10.8723169850799
عَدَد عَامِل	attr	10.8689654982743
خَطّ أُنبُوب	attr	10.863387690358
أَكَادِيمِيَّة سَادَات	attr	10.8627544857002
بَنك تَنمِيَة	attr	10.8486415594866
إِقَامَة مِنطَقَة	attr	10.8006521279875
دَورِيّ بَطَل	attr	10.7658274420995
كَاتِدرَائِيَّة قِبطِيّ	attr	10.7658274420995
مَرفَأ بَصرَة	attr	10.7658274420995
هُبُوب عَاصِفَة	attr	10.7658274420995
خَفض عَجز	attr	10.7534017127017
تَنظِيم قَاعِدَة	attr	10.6905069277084
حِمَايَة ثَروَة	attr	10.6722240956822
أُنبُوب نَفط	attr	10.6216132218983
إِصدَار قَانُون	attr	10.5838113873408
فَتح اِعتِمَاد	attr	10.5832490408792
مُكُوث قَمَر	attr	10.5227893934132
عَدَم تَوَصُّل	attr	10.5109644925719
حَال اِستِمرَار	attr	10.464386586551
مُدَّة عَام	attr	10.4637317069928
مَنع دُخُول	attr	10.4553905656377
مَكتَب إِرشَاد	attr	10.4360431187219
عَون أَمن	attr	10.3441256726807
تَحدِيد مَوعِد	attr	10.3434437811966
تَحصِيل قِيمَة	attr	10.3290154846679
نِصف قَرن	attr	10.3268892837795
مَكتَبَة إِسكَندَرِيَّة	attr	10.3186694107572
مَهرَجَان خَيل	attr	10.3186694107572
عَقد مُؤتَمَر	attr	10.3128485651836
عَمَلِيَّة تَوَغُّل	attr	10.3077726502285
قِطَاع صِنَاعَة	attr	10.2215534039402
رَئِيس لَجنَة	attr	10.2188598266601
تَصفِيَة مَجمُوعَة	attr	10.1895508513593
نَهر دِجلَة	attr	10.163818544575
تَنفِيذ خُطَّة	attr	10.1565363833762
ضَحِيَّة كَارِثَة	attr	10.1425781517016
خَطّ إِنتَاج	attr	10.1292469376232
مَجَال صِنَاعَة	attr	10.1287207679034
مُنَظَّمَة عَمَل	attr	10.1064385729178
حَرب خَلِيج	attr	10.0988127217864
تَنمِيَة عَلَاقَة	attr	10.0850916719337
أَوَّل مَايُو	attr	10.0669255627434
تَموِيل مَشرُوع	attr	10.0651882705443
مُعَوِّق تَبَادُل	attr	10.042643467202
مُنَاسَبَة عِيد	attr	10.0384177367378
مُحَارَبَة إِرهَاب	attr	10.0289119125126
بِدَايَة عَام	attr	10.0202298191929
لَجنَة مُتَابَعَة	attr	10.0163627784125
اِحتِيَاط نَفط	attr	9.98413452448591
قَضِيَّة فَسَاد	attr	9.9788586286548
شَكل مِنحَة	attr	9.96221112879339
مَطَار بَغدَاد	attr	9.9622111287841
نِظَام حِصَّة	attr	9.93977253506468
سُلطَة اِحتِلَال	attr	9.92874527965425
اِنفِجَار أُنبُوب	attr	9.91828290985844
صِنَاعَة غَزل	attr	9.89761864807738
مَسأَلَة قُدس	attr	9.89216796035461
مَصلَحَة ضَرِيبَة	attr	9.89216796035461
شَهر مَارِس	attr	9.87502536766401
تَقدِيم مُسَاعِدَة	attr	9.85555127563609
تَنشِيط حَرَكَة	attr	9.84894066928166
وَضع حَدّ	attr	9.83707306633754
رَئِيس جُمهُورِيَّة	attr	9.80302175611783
حَدّ تَعبِير	attr	9.80134161043918
رَجُل دِين	attr	9.79258842605712
حَقّ اِمرَأَة	attr	9.77208838595172
جِهَاز اِستِخبَار	attr	9.76671874358657
عِيد فِطر	attr	9.72443475694257
جَنُوب عِرَاق	attr	9.66531718155921
كُلّ طَرَف	attr	9.65114951684383
رِحلَة عَودَة	attr	9.63400682761066
كُلّ شَيء	attr	9.62260701446225
شَمل عَائِلَة	attr	9.6104914046344
مِيثَاق أُمَّة	attr	9.58173451685753
حَجم صَادِر	attr	9.57374919570639
غُضُون أُسبُوع	attr	9.56195076055162
وَزِيرَة خَارِجِيَّة	attr	9.54709947523755
تَوجِيه اِتِّهَام	attr	9.54586888146379
حِدَّة تَوَتُّر	attr	9.5406203539847
مَطَار بَيرُوت	attr	9.5406203539847
حَرَكَة فَتح	attr	9.53591113294129
حَصِيلَة صَادِر	attr	9.52624883563443
إِقَامَة دَولَة	attr	9.52227679583931
جَنُوب غَرب	attr	9.50999995852104
عَبد عَزِيز	attr	9.50575605411234
فِرقَة بَحث	attr	9.47552343501649
وَزِير مَورِد	attr	9.45828422612653
يَوم اِثنَان	attr	9.45471253904324
سُقُوط نِظَام	attr	9.45350757663867
قِيمَة صَادِر	attr	9.41271658241889
تَحرِيم حُصُول	attr	9.40884604110634
قِنطَار قُطن	attr	9.40884604110634
تَشكِيل لَجنَة	attr	9.38971328271429
آيَة قُرآن	attr	9.385735428605
مَجلِس إِنمَاء	attr	9.35860154429014
اِتِّفَاقِيَّة شِرَاكَة	attr	9.33606320885089
اِنخِفَاض دُولَار	attr	9.31650615238994
اِستِقبَال مَرِيض	attr	9.28313628198698
طَرح سَهم	attr	9.27722389642956
حِمَايَة بِيئَة	attr	9.27264116176776
جَلسَة عَمَل	attr	9.27032797812757
طَائِرَة بِضَاعَة	attr	9.23731078649812
مَحَطَّة كَهرَبَاء	attr	9.20002663930076
تَدَفُّق اِستِثمَار	attr	9.19996610030763
مُنَاخ اِستِثمَار	attr	9.19996610030763
مُدِير بَرنَامَج	attr	9.14606542645272
نَقِيب طَبِيب	attr	9.14278254160729
بِنَاء جِدَار	attr	9.13954768482226
فَشَل مُحَاوَلَة	attr	9.12848884681186
غَرَق غَوَّاصَة	attr	9.10550429995289
شَرِكَة حَفر	attr	9.09870259791069
اِستِيرَاد يَامِيش	attr	9.08053366070894
حُصُول اِنكِمَاش	attr	9.08053366070894
جَدوَل عَمَل	attr	9.0304405453544
مُنَاهَضَة تَعذِيب	attr	9.01789490147289
سَيَّارَة إِسعَاف	attr	9.00860174936652
اِرتِدَاء حِجَاب	attr	8.98791465095902
حَدَث شَغَب	attr	8.98791465095421
شَنّ حَرب	attr	8.95338943853206
مَتن طَائِرَة	attr	8.94939949673726
بُولِيصَة تَأمِين	attr	8.94300579679636
تَطبِيق بَرنَامَج	attr	8.94239419771195
نَفط شَرق	attr	8.92504839481543
مَجلِس حُكم	attr	8.92472005843967
مِنطَقَة خَزَّان	attr	8.92210854330953
مُدِير إِدَارَة	attr	8.90632217312325
إِدَارَة بَنك	attr	8.89853176598509
اِستِئنَاف مُفَاوَضَة	attr	8.89176397816321
مَطلَع شَهر	attr	8.8852603989922
هَيئَة مِلَاحَة	attr	8.88427245618182
حَالَة إِصَابَة	attr	8.87837366489311
أَحَد مُستَشَار	attr	8.87200145801763
وَزِير تَموِين	attr	8.86542518698779
بِطَاقَة هُوِيَّة	attr	8.84185474489774
كُلِّيَّة طِبّ	attr	8.84185474489774
عَمَلِيَّة إِنقَاذ	attr	8.83531009923347
تَكَافُؤ فُرصَة	attr	8.81863887657337
مَتن غَوَّاصَة	attr	8.81844310557047
سِعر طُنّ	attr	8.81598520435032
مَكتَب تَحقِيق	attr	8.81311306582133
وِكَالَة اِستِخبَار	attr	8.78430087863382
مُدَّة مُكُوث	attr	8.76064692959048
حَافِز اِستِثمَار	attr	8.74602548485519
عَقد جَلسَة	attr	8.71481927213774
تَعدَاد سَاكِن	attr	8.70512960174585
قَول صَحِيفَة	attr	8.68700388913193
تَشكِيل مَجلِس	attr	8.68675194213496
نِظَام صَدَّام	attr	8.66182893199265
جَدوَلَة دَين	attr	8.65188408979263
مُقَايَضَة دَين	attr	8.65188408979263
حُجَّة إِسلَام	attr	8.63252702291694
إِعَادَة تَشكِيل	attr	8.62897546080443
تَصنِيع دَبَّابَة	attr	8.61083207940999
خِتَام جَولَة	attr	8.5794774771574
شَبّ قَاعِدَة	attr	8.5579148095077
مُسَابَقَة كَأس	attr	8.553362816815
تَخفِيف حِدَّة	attr	8.54875229695413
خَلفِيَّة تَوَقُّع	attr	8.54875229695413
دَولَة شَرق	attr	8.54580804959729
صَرف جُنَيه	attr	8.54330550533734
يَوم غَد	attr	8.52773174310548
ضَرب عِرَاق	attr	8.51261540631893
رَسم مَزَار	attr	8.50408889474361
خُطَّة خَرِيطَة	attr	8.48796158808544
مُدَرِّب مُنتَخَب	attr	8.47874623915668
مَادَّة كَافِيِين	attr	8.47874623915151
عُضو هَيئَة	attr	8.46707927523362
فَرد عَائِلَة	attr	8.45853900819581
مَنح تَأشِيرَة	attr	8.45833140418699
مَدَى تَأثِير	attr	8.44408507709445
وَحدَة مُكَافَحَة	attr	8.42714528128187
رَبّ أُسرَة	attr	8.40925486581657
غَرب نِيل	attr	8.38883984480697
تَكلِفَة إِنتَاج	attr	8.34005686261172
عَمَلِيَّة إِعَادَة	attr	8.32645910727387
إِعَادَة عُمر	attr	8.32025358219917
قِطعَة ذَخِيرَة	attr	8.31911231229602
إِقرَاض مَشرُوع	attr	8.30403462965798
أَمِير كُوَيت	attr	8.29873073649174
عَالِم أَزهَر	attr	8.29582260584632
إِبرَام اِتِّفَاق	attr	8.28793914187632
مَطلَع دِيسَمبِر	attr	8.27760042125604
تَشيِيع جُثمَان	attr	8.26233183461206
جَزِيرَة بِيَانُو	attr	8.26233183461206
جُمهُور سِينَمَا	attr	8.26233183461206
خَادِم حَرَمَان	attr	8.26233183461206
دَفتَر صَكّ	attr	8.26233183461206
رُخص أَجر	attr	8.26233183461206
عَلَامَة اِستِفهَام	attr	8.26233183461206
قَبِيل صُدفَة	attr	8.26233183461206
قَلَم مُحسِن	attr	8.26233183461206
شَرِكَة خَطّ	attr	8.25360585837072
وِزَارَة اِقتِصَاد	attr	8.24991857397048
لَجنَة شَأن	attr	8.2386858448496
سَفِينَة بِضَاعَة	attr	8.23482550467456
عَلَاقَة حُبّ	attr	8.23482550466966
مُعَادَاة وَسِيلَة	attr	8.21891206740313
نِسبَة مُسَاهَمَة	attr	8.21788669696158
اِستِقبَال مُفَتِّش	attr	8.21691962417057
حَدّ سَوَاء	attr	8.21315922598815
عَاصِمَة مُحَافِظَة	attr	8.20528818579495
وَقف قَصف	attr	8.187920282635
جَيش اِحتِلَال	attr	8.18379697404501
تَسجِيل سَهم	attr	8.18097992719654
طَرَف نِزَاع	attr	8.18097992719654
سَحب كِتَاب	attr	8.16395320295113
حَرب أُكتُوبِر	attr	8.15567833796091
شَرِكَة إِسكَان	attr	8.1494421734066
مَجَال مُكَافَحَة	attr	8.13455969213382
تَدَهوُر وَضع	attr	8.13061369998217
قَائِمَة دَولَة	attr	8.11196216969903
كَبسُولَة إِنقَاذ	attr	8.10595876043678
وِزَارَة صِحَّة	attr	8.10545699052764
شَرِيك حَيَاة	attr	8.10344443796183
اِرتِفَاع نِسبَة	attr	8.09232826143641
إِتمَام صَفقَة	attr	8.08107880024638
مَتن بَاخِرَة	attr	8.08107880023844
سُقُوط قَتِيل	attr	8.06710472052455
نَشر قُوَّة	attr	8.06354053430172
نَتِيجَة عَمَل	attr	8.05550051646016
سِعر نَفط	attr	8.04033656392403
صِنَاعَة مَنسُوج	attr	8.02057261092543
مُؤتَمَر مُصَالَحَة	attr	8.01830377000225
غَاز بِترُول	attr	7.99908049483565
نِصف نِهَائِيّ	attr	7.99908049483563
تَسوِيق مُنتَج	attr	7.99691064271212
زَعِيم حِزب	attr	7.98483695900958
رُبع نِسَاء	attr	7.97701325519296
ذَات أَجَل	attr	7.97550708544698
قَعر بَحر	attr	7.90247191620498
وِزَارَة زِرَاعَة	attr	7.89876290905456
قِسم إِعلَام	attr	7.89848779871831
دَولَة غَرب	attr	7.86711345746849
رَجُل شُرطَة	attr	7.85743172675899
تَوقِيع اِتِّفَاقِيَّة	attr	7.85335724269794
عِيد عَامِل	attr	7.8452448587562
قِيمَة جُنَيه	attr	7.83835189929001
قِيمَة عُملَة	attr	7.83835189929001
اِتِّفَاق مُوَاءَمَة	attr	7.82891176115256
إِلحَاق شَمَال	attr	7.81932035087368
شَرِكَة تَأمِين	attr	7.81686223037965
مَبنَى جَامِعَة	attr	7.81254485978726
عِدَّة سَاعَة	attr	7.8071462467648
اِستِقرَار سُوق	attr	7.80524533616092
عُضو مَجمَع	attr	7.79962527619941
تَأكِيد سُمعَة	attr	7.78521057989879
تَحمِيل نَاقِلَة	attr	7.78521057989879
تَفتِيش حَقِيبَة	attr	7.78521057989879
جَبَل نُوبَة	attr	7.78521057989879
حَصر شُبهَة	attr	7.78521057989879
شَدّ بَطن	attr	7.78521057989879
فَكّ كَمَّاشَة	attr	7.78521057989879
فُول صُويَا	attr	7.78521057989879
بَلَدِيَّة طَهرَان	attr	7.78521057989239
وَضَح نَهَار	attr	7.78521057989239
مُوَاصَلَة عَمَلِيَّة	attr	7.78425031446683
مَقتَل شَخص	attr	7.77114615181982
إِبدَاء مَزِيد	attr	7.76980992866494
دَور وَسِيط	attr	7.76980992866007
إِنشَاء مَصنَع	attr	7.75878121017957
مِنطَقَة شُجَاعِيَّة	attr	7.75002285281015
سِكَّة حَدِيد	attr	7.74827242768462
هِلَال رَمَضَان	attr	7.72843429350988
عَقد اِتِّفَاق	attr	7.72441852913735
دَار كِتَاب	attr	7.70587925094434
تَقلِيل تَكلِفَة	attr	7.69123444490536
زَعِيم عَشِيرَة	attr	7.68833412096382
يَوم ثُلَاثَاء	attr	7.6859822083894
اِستِهلَاك مُخَدِّر	attr	7.66168009186177
ضَغط دَم	attr	7.66168009186177
كَمِّيَّة دَم	attr	7.66168009186177
مَوقِع صَحِيفَة	attr	7.64632666587376
خُطَّة خَارِطَة	attr	7.64289575535151
إِقَامَة مَعرِض	attr	7.63238418605005
حَدّ إِمبِرَاطُورِيَّة	attr	7.61166159736481
حَدّ قَول	attr	7.61166159736481
خَفض قِيمَة	attr	7.60851311226426
أَرض وَاقِع	attr	7.57927780054966
