lemma	translation	rel	p-value
سُرُور	delight,pleasure	attr	0.00282
ضَمِير	conscience,pronoun	attr	0.00282
مُرَافَقَة	accompaniment,escort	attr	0.00282
مَولَى	master,lord	attr	0.00282
طَرِيق	road,way	attr	0.00285
صِفَة	attribute,characteristic,feature	attr	0.00306
قِيَام	undertaking,carrying_out	attr	0.00331
تَسلِيم	handing_over,delivery,surrender	attr	0.00333
تَعيِين	appointing,assignment	attr	0.00333
خِطَاب	speech	attr	0.00349
أَب	father,ancestor,parent	attr	0.00385
سَفَر	travel,trip,journeys	attr	0.00385
مُوجِب	reason,motive	attr	0.00385
رِحلَة	journey,career	attr	0.00402
بَاب	door,gate	attr	0.00406
عَائِلَة	family,household	attr	0.0044
إِحَالَة	transfer,remittance	attr	0.00445
بَرَاءَة	innocence	attr	0.00445
تَحمِيل	burdening,loading,shipment	attr	0.00445
تَسدِيد	payment,paying	attr	0.00445
تَفَاؤُل	optimism	attr	0.00445
تَوَرُّط	entanglement,involvement	attr	0.00445
خُصُوصِيَّة	unique_characteristic,private_affair,specialty,peculiarity	attr	0.00445
خَطف	abduction,kidnapping,hijacking	attr	0.00445
قِرَاءَة	reading	attr	0.00445
مِلك	property,real_estate,possessions	attr	0.00445
حُصُول	acquisition,obtaining,occurrence,happening	attr	0.00464
رَبط	tying,connecting	attr	0.00517
مُسَاعِد	assistant,supporter	attr	0.00522
تَأسِيس	establishment,creation,installation	attr	0.00614
اِجتِمَاع	meeting,gathering	attr	0.00631
اِتِّبَاع	pursuit,compliance	attr	0.00684
سُمعَة	reputation,renown,fame	attr	0.00684
صَلَاحِيَّة	practicability,viability,competence	attr	0.00684
فِقدَان	loss,bereavement	attr	0.00684
مَظهَر	appearance,facade,feature,manifestation	attr	0.00684
إِفَادَة	notification,communication	attr	0.00816
إِمدَاد	supplying,furnishing	attr	0.00816
اِرتِكَاب	perpetration,commission	attr	0.00816
بَشَر	mankind	attr	0.00816
تَفرِيق	separation,division	attr	0.00816
جَلب	acquisition,arraignment	attr	0.00816
ذُروَة	peak,summit	attr	0.00816
عَزم	determination,firm_resolve	attr	0.00816
قَنَاعَة	satisfaction,moderation	attr	0.00816
مُحتَوَى	content	attr	0.00816
مَنفَى	exile,banishment	attr	0.00816
تَكلِيف	charging,commissioning	attr	0.00863
رَاتِب	salary,pay,wages	attr	0.00863
زِيَارَة	visit	attr	0.00864
مِسَاحَة	surface,space,land,terrain	attr	0.00917
مَعرَكَة	battle,campaign	attr	0.00917
مُعظَم	most_of,the_majority_of	attr	0.0096
شِفَاء	cure,remedy,medication	attr	0.00986
حَدِيث	discussion,talk,interview	attr	0.0115
أَرض	earth,territory,land	attr	0.0119
عَدَد	number,quantity,issue	attr	0.0125
مَصلَحَة	interest,advantage,agency	attr	0.0125
اِهتِمَام	interest,concern,care,attention	attr	0.0126
أَولَوِيَّة	priority,precedence	attr	0.0133
تَطبِيق	application	attr	0.0137
عَودَة	return	attr	0.0138
فِكر	thought,thinking,ideas,concepts	attr	0.0149
مَعنَى	meaning,sense,concepts,nuances	attr	0.0149
مُحَادَثَة	discussion,talk,negotiation	attr	0.015
إِعجَاب	admiration,wonder,surprise	attr	0.0157
إِفلَاس	bankruptcy,insolvency	attr	0.0157
اِستِدعَاء	summons,petition	attr	0.0157
جُهد	strain,exertion	attr	0.0157
رَجَاء	hope	attr	0.0157
سَلَف	ancestor	attr	0.0157
شَعبِيَّة	popularity	attr	0.0157
قَارِب	boat	attr	0.0157
مُؤَازَرَة	assistance,cooperation	attr	0.0157
مِحنَة	ordeal,test,trial	attr	0.0157
مُهَاجَمَة	raid,attack,charge	attr	0.0157
ذِكر	mention,citation,memory	attr	0.0162
وُجُود	presence,existence	attr	0.0169
تَأكِيد	confirmation,affirmation,guarantee	attr	0.0172
إِجَازَة	vacation,leave,holiday,permit,license	attr	0.0179
إِيمَان	belief,faith	attr	0.0179
صِيَانَة	maintenance,preservation	attr	0.0179
ضَمّ	joining,addition,annexation	attr	0.0179
مَسعَى	effort,endeavor	attr	0.0179
هُبُوط	landing,descent,drop,fall,downfall	attr	0.0179
عَرض	presentation,review,show,offer,tenders	attr	0.0191
مُشَارَكَة	participation,association	attr	0.0191
إِعطَاء	giving,donation,offer,concession	attr	0.0194
تَجَاوُز	exceeding,overstepping	attr	0.0229
حِرص	desire,eagerness,keenness	attr	0.0229
مِقدَار	extent,amount,degree,level,value,dosage	attr	0.0229
وَالِدَة	mother,parent	attr	0.0229
أَدَاء	performance,fulfillment	attr	0.023
إِنزَال	lowering,disembarking,landing	attr	0.0253
اِستِبدَال	substitution,exchange,replacement	attr	0.0253
اِستِردَاد	reclamation,recovery,retraction	attr	0.0253
تَركِيبَة	structure,composition	attr	0.0253
مُجمَل	summary,total	attr	0.0253
مَردُود	yield,returns,revenue	attr	0.0253
شَرِيك	partner,associate	attr	0.0256
تَصدِير	export,exporting	attr	0.0274
دَين	debt	attr	0.0282
تَارِيخ	date,history	attr	0.0308
تَشغِيل	operation,activation,employment,hiring	attr	0.0313
خِبرَة	experience,expertise	attr	0.0313
مَطلَب	request,demand,claim,desideratum	attr	0.0313
دَعم	support,assistance,endorsement	attr	0.0314
تَحصِيل	summary,acquisition	attr	0.0351
صُعُود	ascent,rising	attr	0.036
إِقلَاع	departure,take_-_off	attr	0.0366
تَفَوُّق	superiority,supremacy,excellence	attr	0.0366
تَكفِير	atonement,penance	attr	0.0366
عَقل	mind,intellect,brain,senses	attr	0.0366
كُتلَة	bloc,group,mass	attr	0.0366
مُلَاحَظَة	observation,remark,guidelines	attr	0.0366
أَثَر	effect,trace	attr	0.0403
تَوقِيع	signing	attr	0.0403
إِمكَان	possibility,capability	attr	0.0406
سَعي	endeavor,pursuit	attr	0.0411
شَكوَى	complaint,grievance	attr	0.0421
بَقَاء	survival,remaining	attr	0.0466
اِنتِمَاء	membership,affiliation,commitment	attr	0.0495
تَأجِير	leasing,lease	attr	0.0495
تَرشِيح	nomination,candidacy	attr	0.0495
تَوظِيف	usage,making_use_of,employment	attr	0.0495
ثَابِتَة	fixed_star	attr	0.0495
ثُلث	third	attr	0.0495
حِيَازَة	possession,attainment	attr	0.0495
خَشيَة	fear,apprehension	attr	0.0495
دَمج	insertion,inclusion,integration	attr	0.0495
نَاخِب	voter,elector	attr	0.0495
نَجل	son,scion,progeny	attr	0.0495
هَمّ	concern,interest	attr	0.0495
وَتِيرَة	manner,method,style	attr	0.0495
دَار	house,home,abodes	attr	0.0499
طَبِيعَة	nature,natural	attr	0.0499
مُوَظَّف	employee	attr	0.0525
أَزر	strength	attr	0.0531
أَلَم	pain,suffering	attr	0.0531
أَوج	climax,maximum,height,summit	attr	0.0531
إِحسَاس	feeling,sensitivity	attr	0.0531
إِخمَاد	extinguishing	attr	0.0531
إِذعَان	submissiveness,compliance,obedience	attr	0.0531
إِرهَاق	pressure,oppression,heavy_burden	attr	0.0531
إِعَاقَة	hindering,impeding	attr	0.0531
إِفسَاد	corruption,debasement,contamination	attr	0.0531
إِيمَاءَة	gesture,sign,clue	attr	0.0531
إِيوَاء	accommodation,housing	attr	0.0531
اِزدِرَاء	contempt,disregard	attr	0.0531
اِستِخرَاج	extraction,removal,deduction	attr	0.0531
اِستِيفَاء	fulfillment,completion	attr	0.0531
اِضمِحلَال	disappearance,fading	attr	0.0531
اِعتِزَال	retirement,seclusion	attr	0.0531
اِفتِئَات	oppression,violence	attr	0.0531
اِقتِصَادِيَّة	economist	attr	0.0531
اِقتِصَار	be_limited_to,abbreviate,shorten	attr	0.0531
اِنتِدَاب	appointing,commissioning,deputation,dedication	attr	0.0531
بُؤس	dejection,misery	attr	0.0531
بِدعَة	heresy,novelty	attr	0.0531
بَزَّة	clothing,dress	attr	0.0531
تَأدِيَة	accomplishment,performance	attr	0.0531
تَأَزُّم	aggravation,raising_of_tension	attr	0.0531
تَأَلُّق	glitter,radiance	attr	0.0531
تَأمِيم	nationalization	attr	0.0531
تَبرِئَة	exemption,acquittal	attr	0.0531
تَجذِير	evolution,root_extraction	attr	0.0531
تَحِيَّة	greeting,salute,salutations	attr	0.0531
تَدَارُك	be_cautious,put_in_order,correct	attr	0.0531
تَذَمُّر	grumbling,grievance	attr	0.0531
تَزيِيف	forgery,falsification	attr	0.0531
تَسَبُّب	causing,producing,provoking	attr	0.0531
تَسمِيَة	appellation,designation,naming	attr	0.0531
تَسيِير	propulsion,steering,guidance	attr	0.0531
تَصرِيف	selling,passing	attr	0.0531
تَعَاطُف	mutual_sympathy,mutual_affection	attr	0.0531
تَفضِيل	preference,esteem	attr	0.0531
تَكذِيب	denial,refutation	attr	0.0531
تَمَركُز	concentration,consolidation,centralization	attr	0.0531
تَوَابِع	dependencies,satellites	attr	0.0531
تَوَفُّر	availability,abundance,existence	attr	0.0531
ثَقب	perforation,piercing,puncture	attr	0.0531
ثَمَر	fruit,result,effect,yield,profit	attr	0.0531
حُزن	sadness	attr	0.0531
حِضن	bosom,arms	attr	0.0531
حِقد	malice,resentment	attr	0.0531
حَنِين	yearning,nostalgia	attr	0.0531
حِيَاد	neutrality,derailment	attr	0.0531
خَلع	extraction,removal	attr	0.0531
رَثَاثَة	shabbiness	attr	0.0531
رَجعِيَّة	reactionary_conservatism,reaction	attr	0.0531
رَحبَة	wide_area,courtyard,campus,protection	attr	0.0531
رَذَاذ	drizzle,sprinkle	attr	0.0531
رُشد	integrity,maturity	attr	0.0531
رَقَبَة	neck,slaves	attr	0.0531
زِنَة	weighing,weight	attr	0.0531
سُبحَان	praise	attr	0.0531
سُكنَى	residence	attr	0.0531
سَمّ	poison,toxins	attr	0.0531
سَهرَة	soiree,evening_gathering	attr	0.0531
سِوَى	equality	attr	0.0531
شَرِيكَة	partner,associate	attr	0.0531
شَفِيع	mediator,intercessor	attr	0.0531
شَقِيقَة	sister	attr	0.0531
شُمُولِيَّة	universality,totality	attr	0.0531
شَنق	hanging_(_execution_)	attr	0.0531
ضَيف	guest,visitor	attr	0.0531
طَمأَنَة	pacifying,calming,reassuring	attr	0.0531
طَهَارَة	purity,chastity	attr	0.0531
طَيَّة	fold,interior,insides_(_of_)	attr	0.0531
عَاطِفَة	emotion,affection,sentiments	attr	0.0531
عَظم	bone	attr	0.0531
عَوَادِم	refuse,waste	attr	0.0531
غِنَى	wealth	attr	0.0531
فَخذ	thigh,leg	attr	0.0531
فَرَح	joy,happiness,festivity	attr	0.0531
فَردِيَّة	individualism	attr	0.0531
فَرش	household_effects	attr	0.0531
فَقد	loss,bereavement	attr	0.0531
فَقِيد	deceased	attr	0.0531
قَدَر	fate,destiny	attr	0.0531
قَدُّوم	adz	attr	0.0531
قِوَام	support,sustenance,livelihood	attr	0.0531
كَعب	heel	attr	0.0531
لَفظ	word,term,expression	attr	0.0531
مِئذَنَة	minaret	attr	0.0531
مَاسُورَة	pipe,hose	attr	0.0531
مَاهِيَّة	nature,essence,quality	attr	0.0531
مَتَاع	property,commodities,goods	attr	0.0531
مُخِيلَة	dubious,vague,confusing	attr	0.0531
مَذهَب	ideology,trend,sects	attr	0.0531
مُرَاجِع	reviewer,examiner	attr	0.0531
مَرَدّ	underlying_factor,rejection	attr	0.0531
مِزَاج	temperament,mood,feeling	attr	0.0531
مَشوَرَة	consultation,deliberation,advice	attr	0.0531
مِصرَاع	hemistich,door_panel	attr	0.0531
مُضَاعَفَات	complications	attr	0.0531
مُعَاوِن	helper,supporter	attr	0.0531
مَغَارِب	western_areas	attr	0.0531
مَغزَى	significance,meaning	attr	0.0531
مَقدُور	capacity,capability,possibility	attr	0.0531
مُنَاصِر	supported,defender	attr	0.0531
مِنهَاج	method,program,curriculum	attr	0.0531
مَيل	inclination,tendency,sympathy	attr	0.0531
نَحر	slaughtering,butchering	attr	0.0531
نَزعَة	inclination,tendency,trend	attr	0.0531
نُشُوب	outbreak,adherence_to	attr	0.0531
نَظِيرَة	counterpart,opposite_number,colleague,peer	attr	0.0531
نَعي	obituary_notice	attr	0.0531
نَقمَة	revenge,malice	attr	0.0531
نَقِيض	opposite,contrary,contrast	attr	0.0531
وَارِث	heir,inheritor	attr	0.0531
يُوبِيل	jubilee	attr	0.0531
شَعب	people,nation	attr	0.0548
تَركِيز	emphasis,focus,concentration,installation	attr	0.0582
تَجهِيز	equipment,gear	attr	0.0637
تَسَلُّم	receipt,taking_over	attr	0.0637
جَائِزَة	prize,reward	attr	0.0637
حَقِيبَة	briefcase,suitcase,portfolio,luggage	attr	0.0637
زَوج	husband,spouse,married_couple	attr	0.0637
سِنّ	tooth,point,tip	attr	0.0637
فَاعِلِيَّة	activity,effectiveness	attr	0.0637
مَعلَم	sign,mark,features,sights	attr	0.0637
نَظرَة	look,glance,view	attr	0.0637
وَفَاة	death	attr	0.0654
تَدَاوُل	alternation,circulation	attr	0.0672
تَعبِير	expression	attr	0.0672
مُطَالَبَة	requirement,demand	attr	0.0672
ضَحِيَّة	victim	attr	0.0725
صَفّ	line,row,class	attr	0.0768
إِيقَاف	stopping,halting	attr	0.0791
صِيَاغَة	drafting,formulation,constructing	attr	0.0791
ضَخّ	pumping,injecting	attr	0.0791
عَزل	removal,dismissal	attr	0.0791
مُخَصَّص	allocations,credits,coupons	attr	0.0791
مُقتَرَح	proposal,suggestion	attr	0.0791
مِيثَاق	treaty,pact,charter	attr	0.0791
تَأثِير	effect,influence,impact	attr	0.0799
اِستِبعَاد	ruling_out,distancing	attr	0.0869
وَطَن	nation,homeland	attr	0.0869
مُدَّة	period_of_time,interval	attr	0.0875
وِجهَة	point_of_view,angle	attr	0.0876
جَلسَة	session,meeting	attr	0.0889
إِدخَال	insertion,entering,inclusion	attr	0.0955
تَمدِيد	extension,prolongation,lengthening	attr	0.0955
سَير	course,motion,march	attr	0.0955
غَرَق	drowning,sinking,inundation	attr	0.0955
مُقَدَّمَة	preface,introduction,front_part	attr	0.0955
طَاقِم	crew	attr	0.0956
إِنفَاق	expenditure,disbursement,expenses	attr	0.0975
مُدَرِّب	trainer,coach,instructor	attr	0.0975
وَدِيعَة	deposit,trust,charge	attr	0.0975
إِقَامَة	residency,setting_up	attr	0.1
أُذُن	ear	attr	0.103
أَسَف	regret,sorry	attr	0.103
أَنف	nose,pride	attr	0.103
إِبرَاز	displaying,emphasizing,accentuation	attr	0.103
إِخضَاع	subjection,surrender	attr	0.103
إِخطَار	notification,warning	attr	0.103
إِرث	inheritance,heritage,legacy	attr	0.103
إِشعَار	notice,notification	attr	0.103
إِقدَام	courage,audacity	attr	0.103
إِيصَال	connection,transportation,transmission	attr	0.103
اِبتِعَاد	avoiding,eschewing	attr	0.103
اِستِنكَار	repudiation,ignorance,lack_of_knowledge	attr	0.103
اِعتِزَام	be_determined,be_resolute	attr	0.103
اِفتِرَاء	lying,falsehood,lies	attr	0.103
اِقتِنَاع	belief,conviction	attr	0.103
اِنزِعَاج	disturbance,trouble	attr	0.103
بُرُوز	prominence,appearance	attr	0.103
تَأدِيب	chastisement,education	attr	0.103
تَبَع	subordinate,follower	attr	0.103
تَتوِيج	coronation,crowning	attr	0.103
تَحلِيق	flight,flying,take_-_off	attr	0.103
تَضَمُّن	inclusion	attr	0.103
تَعَلُّق	connection,relationship	attr	0.103
تَفَهُّم	understanding,comprehension	attr	0.103
تَلزِيم	award_of_open_contract	attr	0.103
تَمَتُّع	enjoyment	attr	0.103
جُغرَافِيَّة	geographer	attr	0.103
جُهُوزِيَّة	preparedness,fitness	attr	0.103
جَوهَر	essence,substance	attr	0.103
حَدَاثَة	modernity,newness	attr	0.103
خَنق	choking,suppression	attr	0.103
دِمَاغ	brain	attr	0.103
ذَيل	tail,end,supplement,addendum,consequence	attr	0.103
رَشّ	sprinkling,spraying	attr	0.103
سُكَّان	rudder,helm	attr	0.103
سَمَاحَة	munificence,eminence	attr	0.103
شَرح	explanation,commentary	attr	0.103
طَاق	layer,stratum	attr	0.103
عَاقِبَة	result,consequence	attr	0.103
عَظمَة	majesty,grandeur	attr	0.103
فَخر	pride,boasting,glory	attr	0.103
فَلّ	dent,notch,nick	attr	0.103
قُدُوم	arrival,coming	attr	0.103
كَوكَب	planet,star	attr	0.103
مَحفَظَة	pocketbook,portfolio	attr	0.103
مُرتَكِب	perpetrator	attr	0.103
مُسَمَّى	title,name	attr	0.103
مِفتَاح	key,switch,wrench	attr	0.103
مُقَدَّسَات	sacred_sites,sacred_things	attr	0.103
مَقدَم	arrival,advent	attr	0.103
مُنَافِس	competitor,competing,rival	attr	0.103
مُنتَقِد	critic	attr	0.103
مَنعَة	resistance,stamina	attr	0.103
مَهَارَة	skill,proficiency,crafts	attr	0.103
نَزَاهَة	impartiality,neutral_attitude	attr	0.103
هُرُوب	escape,fleeing	attr	0.103
وَاضِع	writer,author,originator	attr	0.103
يَقِين	certainty,certitude,conviction	attr	0.103
حَيَاة	life	attr	0.108
أُسطُول	fleet,squadron	attr	0.109
إِقرَار	ratification,confirmation	attr	0.109
تَسوِيق	marketing	attr	0.109
رُؤيَة	vision,sight,view,opinion,viewing	attr	0.109
مُستَوَى	level,standard	attr	0.11
إِصرَار	insistence,determination,premeditation	attr	0.113
تَحَمُّل	assumption,bearing,duties	attr	0.113
تَعَاطِي	pursuit,practice,addiction	attr	0.113
تَفسِير	explanation,commentary,exegesis,Quranic_commentary	attr	0.113
مَعرِفَة	knowledge,information,acquaintance,culture,education	attr	0.113
ثَقَافَة	culture,civilization	attr	0.12
تَوَجُّه	attitude,approach	attr	0.122
مُوَافَقَة	agreement	attr	0.122
تَدَخُّل	intervention,interference	attr	0.131
تَسجِيل	registration,recording,documentation,records,documents	attr	0.131
تَشيِيد	construction,erection	attr	0.131
ثِقَة	trust,confidence	attr	0.131
دَفع	pushing,propelling,payment	attr	0.131
صِلَة	link,connection,contact	attr	0.131
مُعَامَلَة	treatment,dealing_with,procedure	attr	0.131
نَجم	star,constellation	attr	0.131
نَصِيب	share,dividend	attr	0.131
جَهد	exertion,endeavor,efforts	attr	0.14
دِين	religion	attr	0.141
مَنح	granting,bestowal,awarding	attr	0.141
لُغَة	language	attr	0.145
مَحَلّ	place,location	attr	0.145
اِحتِرَام	respect,honoring,out_of_respect_for,in_honor_of	attr	0.149
رُوح	spirit,soul	attr	0.149
إِخرَاج	production,extraction,ousting	attr	0.151
إِرجَاء	postponement,deferment	attr	0.151
إِصدَار	export,issuance	attr	0.151
إِطفَاء	extinguishing,fire_fighting	attr	0.151
إِنتَاجِيَّة	productivity	attr	0.151
اِستِسلَام	surrender,capitulation,resignation	attr	0.151
اِستِقبَال	reception,welcoming	attr	0.151
اِستِيلَاء	appropriation,seizure	attr	0.151
اِمتِلَاك	possession,seizure,control	attr	0.151
اِنعِكَاس	reflection,inversion,repercussion	attr	0.151
بَال	mind,attention	attr	0.151
تَأَهُّل	qualification,suitability,competency	attr	0.151
تَصَدِّي	resistance,confrontation	attr	0.151
تَقَاسُم	partitioning,sharing_portions	attr	0.151
تَمرِير	passing,transfer	attr	0.151
جَارِحَة	predatory,extremities	attr	0.151
جِذر	root,stub	attr	0.151
حِذَاء	(_pair_of_)_shoes	attr	0.151
حَرَج	thicket,forest	attr	0.151
سَطح	roof,terrace	attr	0.151
شَاحِنَة	truck,lorry,freight_car	attr	0.151
ضِمن	interior,content	attr	0.151
طَلِيعَة	vanguard,symptoms	attr	0.151
لِيَاقَة	capability,competence	attr	0.151
مُؤَلِّف	author,composer	attr	0.151
مَرسَى	anchorage	attr	0.151
مُسَبِّبَة	cause,causative_factor	attr	0.151
مُعتَقَد	dogma,creed,conviction	attr	0.151
مُوَاطِنَة	citizen	attr	0.151
نُزُول	descent,resignation	attr	0.151
وَلَد	child,son	attr	0.151
عَمَل	work,action,activities	attr	0.153
تَقدِيم	offering,presenting,submitting,offer,bid,service	attr	0.154
مُستَقبَل	future	attr	0.154
فَرض	imposing,levying,duties,suppositions	attr	0.158
أَصل	origin,root,principle	attr	0.161
حِصَّة	share,portion,quota	attr	0.161
شَرط	precondition,stipulation	attr	0.161
إِسقَاط	overthrow,shooting_down	attr	0.168
إِقنَاع	persuasion,convincing	attr	0.168
تَلَقِّي	receiving,receipt,acquisition	attr	0.168
جَدوَى	gift,present,advantage,gain,benefit	attr	0.168
شَكّ	doubt	attr	0.168
مِيزَانِيَّة	budget,balance	attr	0.168
اِفتِتَاح	opening,inauguration	attr	0.171
تَصنِيع	fabrication,industrialization,processing	attr	0.171
دَخل	income,revenue,business	attr	0.171
حَالَة	condition,case,situation	attr	0.176
خَسَارَة	loss,damage,casualties	attr	0.176
نِسبَة	link,relation,ratio,rate	attr	0.184
حُضُور	presence,attendance	attr	0.186
تَفكِير	thinking,meditation,reflection	attr	0.188
حَمَاس	fortitude,enthusiasm	attr	0.188
كُلفَة	formality,expenditure	attr	0.188
مَخَاطِر	dangers,perils,adventures	attr	0.188
مُعَسكَر	camp,encampment	attr	0.188
هُدُوء	calm,quiet,tranquillity	attr	0.188
مُنَاقَشَة	argument,debate	attr	0.19
اِستِيرَاد	importation,importing,imports,imported_goods	attr	0.195
إِجبَار	compulsion,coercion	attr	0.196
اِكتِنَاز	gathering,storing	attr	0.196
بُندُقِيَّة	rifle	attr	0.196
تَخَوُّف	fear,dread	attr	0.196
تَرحِيل	deportation,evacuation,exodus	attr	0.196
تَعقِيم	pasteurization,sterilization	attr	0.196
تَقلِيد	tradition,custom	attr	0.196
تَوَافُر	availability,abundance,existence	attr	0.196
جُمجُمَة	skull,cranium	attr	0.196
حِكمَة	wisdom,maxim	attr	0.196
دَافِع	incentive,motive	attr	0.196
ذَكَاء	cleverness	attr	0.196
رَحِيل	departure,demise	attr	0.196
رِفقَة	company,group,companions	attr	0.196
شَرع	law	attr	0.196
